hub_url,hub_type,spoke_url,spoke_type,relationship,preferred_anchor_type,existing_link,recommended_link,risk,status
"/พื้นที่ให้บริการ/ชัยภูมิ","location","/รับซื้อ/รับซื้อ-macbook-ชัยภูมิ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/ชัยภูมิ","location","/รับซื้อ/รับซื้อคอมพิวเตอร์-ชัยภูมิ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/ชัยภูมิ","location","/รับซื้อ/รับซื้อ-iphone-ชัยภูมิ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครพนม","location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-นครพนม","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครพนม","location","/รับซื้อ/รับซื้อ-macbook-นครพนม","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครพนม","location","/รับซื้อ/รับซื้อคอมพิวเตอร์-นครพนม","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครพนม","location","/รับซื้อ/รับซื้อ-iphone-นครพนม","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครราชสีมา","location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-นครราชสีมา","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครราชสีมา","location","/รับซื้อ/รับซื้อ-macbook-นครราชสีมา","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครราชสีมา","location","/รับซื้อ/รับซื้อคอมพิวเตอร์-นครราชสีมา","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/นครราชสีมา","location","/รับซื้อ/รับซื้อ-iphone-นครราชสีมา","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บึงกาฬ","location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-บึงกาฬ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บึงกาฬ","location","/รับซื้อ/รับซื้อ-macbook-บึงกาฬ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บึงกาฬ","location","/รับซื้อ/รับซื้อคอมพิวเตอร์-บึงกาฬ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บึงกาฬ","location","/รับซื้อ/รับซื้อ-iphone-บึงกาฬ","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บุรีรัมย์","location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-บุรีรัมย์","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บุรีรัมย์","location","/รับซื้อ/รับซื้อ-macbook-บุรีรัมย์","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บุรีรัมย์","location","/รับซื้อ/รับซื้อคอมพิวเตอร์-บุรีรัมย์","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/บุรีรัมย์","location","/รับซื้อ/รับซื้อ-iphone-บุรีรัมย์","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
"/พื้นที่ให้บริการ/มหาสารคาม","location","/รับซื้อ/รับซื้อโน๊ตบุ๊ค-มหาสารคาม","service-x-location","province-to-related-service-via-sibling","descriptive","partial","ADD","low","APPROVED"
